idColaborador,matricula,nome,cpf,email,gmail,senha,tipoContratacao,dataContratacao,diasDisponiveis,idGestor,idPerfil,idSetor,ultimoAcesso,idWorkplace,solicitacao,stats,setor.idSetor,setor.nomeSetor,setor.sigla
34,987,Um Teste Pra Agora,12312365486,viniciusmendonca@alunos.utfpr.edu.br,,quero123,PJ,2023-03-10T00:00:00.000Z,0,1,3,3,,100089479950088,[],ativo,3,Tecnologia da Informação,TI
36,321321,Um teste pra agora,11122233394,viniciusmendonca@alunos.utfpr.edu.br,,quero123,PJ,2023-03-01T00:00:00.000Z,0,1,3,3,,100089479950088,[],ativo,3,Tecnologia da Informação,TI
37,555,Fulano Teste,12312312359,viniciusmendonca@alunos.utfpr.edu.br,,quero123,PJ,2023-03-01T00:00:00.000Z,0,1,3,3,,100089479950088,[],ativo,3,Tecnologia da Informação,TI
38,55555,Agora,67867867824,viniciusmendonca@alunos.utfpr.edu.br,,quero123,PJ,2022-03-26T00:00:00.000Z,0,1,3,2,,100089479950088,[],ativo,2,Contabilidade,Cont
39,11111,teste agora,11111122239,viniciusmendonca@alunos.utfpr.edu.br,,quero123,CLT,2023-03-02T00:00:00.000Z,0,1,3,1,,100089479950088,[],ativo,1,Recursos Humanos,RH
40,112211,Teste dias work,12312374563,viniciusmendonca@alunos.utfpr.edu.br,,quero123,PJ,2023-03-01T00:00:00.000Z,0,1,3,3,,100089479950088,[],ativo,3,Tecnologia da Informação,TI
41,aaaaaaaa,aaaaaaaaaaaaaaaa,11122233374,viniciusmendonca@alunos.utfpr.edu.br,,quero123,CLT,2022-03-26T00:00:00.000Z,0,1,3,1,,100338649174953,[],ativo,1,Recursos Humanos,RH
43,bbbb,bbbb,11112222567,bbbb@bbbb.com,,quero123,CLT,2023-03-28T00:00:00.000Z,0,1,3,2,,,[],ativo,2,Contabilidade,Cont
45,12345,contratacao,11122255915,contratacao@email.com,,quero123,PJ,2022-03-01T00:00:00.000Z,0,1,3,3,,100089479950088,[],ativo,3,Tecnologia da Informação,TI
46,54321,teste dias,11122286527,testedias@email.com,,quero123,PJ,2022-03-01T00:00:00.000Z,30,1,3,1,,100089479950088,"[{'idSolicitacao': 35, 'dataSolicitacao': '2023-03-31T00:00:00.000Z', 'dataInicio': '2023-03-30T00:00:00.000Z', 'dataFim': '2023-04-08T00:00:00.000Z', 'statusSolicitacao': 'pendente', 'comentarioColab': 'me da ferias', 'comentarioGestor': None, 'idColaborador': 46, 'solicitacao13': None}]",ativo,1,Recursos Humanos,RH
6,666,Julio,55555444444,viniciusmendonca@alunos.utfpr.edu.br,teste@gmail.com,123,CLT,2023-01-01T00:00:00.000Z,0,1,3,3,,100089479950088,[],ativo,3,Tecnologia da Informação,TI
7,777,O cara das ferias,11122211122,viniciusmendonca@alunos.utfpr.edu.br,teste@gmail.com,123,CLT,2023-01-01T00:00:00.000Z,0,1,3,3,,100089479950088,[],ativo,3,Tecnologia da Informação,TI
10,1010,Teste 1,12212254212,viniciusmendonca@alunos.utfpr.edu.br,teste@gmail.com,123,CLT,2023-01-01T00:00:00.000Z,0,1,3,3,,100089479950088,[],ativo,3,Tecnologia da Informação,TI
11,1111,Teste 2,33332222111,viniciusmendonca@alunos.utfpr.edu.br,teste@gmail.com,quero123,PJ,2023-03-01T00:00:00.000Z,0,1,3,3,,100089479950088,[],ativo,3,Tecnologia da Informação,TI
12,1212,Teste 3,66666666666,viniciusmendonca@alunos.utfpr.edu.br,testesilva@gmail.com,quero123,PJ,2023-05-05T00:00:00.000Z,0,1,3,3,,100089479950088,[],ativo,3,Tecnologia da Informação,TI
13,1313,Teste 4,44422233321,viniciusmendonca@alunos.utfpr.edu.br,teste@gmail.com,123,CLT,2023-01-01T00:00:00.000Z,0,1,1,1,,100089479950088,[],ativo,1,Recursos Humanos,RH
